array_id,superIterationCount,numberOfCells,worldSize,gridSize,wbK,kappa,homotypicInhibition,heterotypicInhibition,polarityPersistence,polarityTurningCoupling,flowScaling,flowPolarityCoupling,
108,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.575,0.1,0.5,0.2,
109,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.575,0.1,0.5,1.1,
110,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.575,0.1,0.5,2.0,
111,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.575,0.1,2.25,0.2,
112,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.575,0.1,2.25,1.1,
113,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.575,0.1,2.25,2.0,
114,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.575,0.1,4.0,0.2,
115,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.575,0.1,4.0,1.1,
116,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.575,0.1,4.0,2.0,
117,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.575,0.5,0.5,0.2,
118,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.575,0.5,0.5,1.1,
119,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.575,0.5,0.5,2.0,
120,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.575,0.5,2.25,0.2,
121,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.575,0.5,2.25,1.1,
122,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.575,0.5,2.25,2.0,
123,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.575,0.5,4.0,0.2,
124,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.575,0.5,4.0,1.1,
125,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.575,0.5,4.0,2.0,
126,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.575,0.9,0.5,0.2,
127,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.575,0.9,0.5,1.1,
128,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.575,0.9,0.5,2.0,
129,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.575,0.9,2.25,0.2,
130,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.575,0.9,2.25,1.1,
131,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.575,0.9,2.25,2.0,
132,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.575,0.9,4.0,0.2,
133,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.575,0.9,4.0,1.1,
134,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.575,0.9,4.0,2.0,
135,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.95,0.1,0.5,0.2,
136,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.95,0.1,0.5,1.1,
137,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.95,0.1,0.5,2.0,
138,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.95,0.1,2.25,0.2,
139,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.95,0.1,2.25,1.1,
140,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.95,0.1,2.25,2.0,
141,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.95,0.1,4.0,0.2,
142,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.95,0.1,4.0,1.1,
143,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.95,0.1,4.0,2.0,
144,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.95,0.5,0.5,0.2,
145,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.95,0.5,0.5,1.1,
146,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.95,0.5,0.5,2.0,
147,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.95,0.5,2.25,0.2,
148,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.95,0.5,2.25,1.1,
149,10.0,150.0,1024.0,32.0,0.5,1.0,0.4,0.9,0.95,0.5,2.25,2.0,
